Date,Subject,Filename
2025-04-18,Thank you for subscribing to POLITICO Playbook,2025-04-18_playbook.html
2025-05-06,Trump's circle tries to soothe investors' frayed nerves,2025-05-06_130208_email.html
2025-05-06,"Trump defends abortion pill access. Yes, really.",2025-05-06_140218_email.html
2025-05-06,FDA names first-ever AI chief,2025-05-06_160124_email.html
2025-05-06,Security alert,2025-05-06_164021_email.html
2025-05-06,Security alert,2025-05-06_164441_email.html
2025-05-06,2-Step Verification turned on,2025-05-06_164443_email.html
2025-05-06,Security alert,2025-05-06_164501_email.html
2025-05-06,Security alert,2025-05-06_171202_email.html
2025-05-06,Wes Moore ,2025-05-06_171236_email.html
2025-05-06,Trump’s,2025-05-06_172622_email.html
